npi,NE,MW,S,W,female,male,opioid_prescb,opioid,non_opioid
1710982582,0,0,1,0,0,1,1,17,12
1245278100,0,0,1,0,1,0,1,362,1056
1427182161,0,0,0,0,1,0,0,0,289
1669567541,0,0,0,1,0,1,1,559,1198
1679650949,0,0,0,1,0,1,1,66,113
1548580897,0,0,0,0,0,1,1,25,0
1437192002,0,0,0,0,0,1,1,90,2821
1407113988,0,0,0,0,1,0,0,0,198
1023260569,0,0,1,0,0,1,0,0,144
1821106832,0,1,0,0,1,0,1,64,2184
1609931914,0,0,0,0,1,0,1,71,240
1659334472,0,0,1,0,0,1,1,17,0
1144205303,0,0,0,1,0,1,1,247,3213
1548275050,0,1,0,0,0,1,0,0,47
1952598419,0,0,1,0,1,0,1,155,579
1780661793,0,1,0,0,0,1,1,25,0
1356388011,0,0,0,0,1,0,0,0,14
1588788921,0,0,0,0,0,1,0,0,35
1548238389,0,0,1,0,0,1,1,41,102
1366582587,0,1,0,0,0,1,1,14,0
1083907059,0,0,0,1,0,1,1,11,0
1598748931,0,0,1,0,1,0,1,139,3366
1609121748,0,1,0,0,1,0,0,0,200
1063566727,0,1,0,0,1,0,1,48,107
1487630919,0,0,0,0,0,1,0,0,625
1194795351,0,0,1,0,1,0,0,0,120
1669671194,0,0,0,0,0,1,0,0,144
1629394754,0,0,0,0,0,1,1,0,19
1174555080,0,0,1,0,1,0,1,20,383
1508170895,0,0,0,1,1,0,0,0,14
1871548537,0,0,0,1,1,0,1,31,264
1841349677,0,1,0,0,1,0,1,587,90
1801816095,0,0,1,0,0,1,0,0,72
1629038443,0,0,1,0,0,1,1,0,64
1386607315,0,0,1,0,1,0,1,0,1180
1811005366,0,0,0,1,0,1,0,0,12
1902018518,0,0,0,1,1,0,0,0,3717
1295852101,0,1,0,0,0,1,1,53,0
1467448381,0,0,0,1,1,0,1,104,2312
1285675637,0,1,0,0,0,1,1,256,5305
1669400792,0,1,0,0,1,0,0,0,192
1598863342,0,0,0,1,1,0,0,0,60
1891112496,0,0,0,0,0,1,0,0,48
1235270554,0,0,0,1,0,1,0,0,22
1679630891,0,0,1,0,1,0,1,161,1247
1235132788,0,0,0,0,0,1,0,0,27
1346496197,0,1,0,0,1,0,1,25,341
1922136613,0,0,0,0,0,1,1,15,40
1316085228,0,0,0,1,1,0,0,0,103
1295742583,0,1,0,0,0,1,0,0,90
1235426800,0,0,0,0,1,0,1,33,0
1902866106,0,0,1,0,1,0,0,0,66
1952353724,0,0,1,0,0,1,0,0,1462
1043399322,0,0,1,0,0,1,1,132,1090
1255471140,0,1,0,0,0,1,0,0,1037
1619975919,0,0,0,0,1,0,1,78,0
1023062759,0,1,0,0,0,1,1,0,33
1376865949,0,0,0,0,1,0,0,0,128
1609867399,0,1,0,0,0,1,0,0,1101
1225079817,0,1,0,0,1,0,1,66,516
1093777229,0,0,0,0,1,0,0,0,129
1134260607,0,0,0,0,1,0,1,19,633
1164544045,0,0,1,0,0,1,1,20,0
1538141569,0,1,0,0,1,0,0,0,44
1902916729,0,0,0,1,0,1,1,11,587
1679647747,0,1,0,0,0,1,0,0,18
1154304293,0,0,1,0,1,0,0,0,12
1659395069,0,0,1,0,0,1,1,49,80
1114977758,0,1,0,0,0,1,1,27,37
1912339961,0,0,1,0,1,0,1,14,246
1699933614,0,1,0,0,1,0,1,56,167
1174601066,0,0,0,1,0,1,1,904,7669
1003893140,0,0,1,0,0,1,0,0,44
1104843101,0,1,0,0,1,0,0,0,43
1912114752,0,1,0,0,0,1,1,36,879
1326073214,0,0,0,0,0,1,1,15,0
1063772572,0,1,0,0,1,0,1,20,0
1144285164,0,0,1,0,0,1,0,0,3031
1255327441,0,1,0,0,0,1,0,0,59
1316921752,0,1,0,0,0,1,0,0,47
1194739243,0,0,0,0,0,1,1,54,4137
1609831783,0,0,0,1,1,0,1,30,107
1871682567,0,0,1,0,1,0,1,193,5655
1124108774,0,0,0,0,0,1,1,13,0
1386964930,0,0,1,0,1,0,1,48,824
1346403839,0,0,0,0,0,1,0,0,116
1184760480,0,0,1,0,0,1,1,86,64
1457380826,0,0,0,0,1,0,1,11,0
1730245325,0,0,0,0,0,1,0,0,553
1013935303,0,0,0,0,0,1,1,251,8345
1629152525,0,0,1,0,0,1,1,44,34
1265477343,0,0,1,0,0,1,1,38,12
1629099304,0,0,1,0,0,1,1,927,425
1205126695,0,0,1,0,1,0,0,0,39
1982602868,0,0,0,0,0,1,1,149,148
1578724068,0,1,0,0,0,1,0,0,12
1144296245,0,0,0,1,0,1,1,833,10147
1508982414,0,0,1,0,1,0,1,144,4817
1316176233,0,1,0,0,0,1,1,13,24
1285792762,0,0,0,1,0,1,1,342,9269
1386962785,0,0,0,0,0,1,1,1193,1284
1457391989,0,0,0,0,0,1,0,0,71
1548413172,0,0,1,0,0,1,0,0,50
1932193117,0,0,0,0,0,1,0,0,393
1487933404,0,0,0,0,1,0,0,0,115
1063590743,0,0,0,1,0,1,1,594,5307
1699740613,0,1,0,0,0,1,1,1190,5424
1093901357,0,1,0,0,0,1,1,263,4749
1588612477,0,0,0,1,1,0,1,34,68
1881825461,0,0,1,0,0,1,1,103,156
1528075702,0,0,0,1,0,1,0,0,1476
1467427427,0,1,0,0,1,0,1,104,3127
1437233327,0,0,1,0,0,1,0,0,508
1053405951,0,0,1,0,1,0,1,1134,288
1528037371,0,0,0,0,0,1,0,0,48
1366495459,0,0,0,1,1,0,1,0,392
1720393101,0,0,0,1,1,0,0,0,97
1720089469,0,0,0,1,0,1,0,0,640
1467627729,0,0,1,0,0,1,1,72,86
1154471449,0,0,1,0,0,1,0,0,209
1811335664,0,0,0,0,1,0,0,0,87
1184619157,0,0,1,0,0,1,0,0,951
1689765588,0,1,0,0,1,0,0,0,11
1053492868,0,1,0,0,0,1,1,82,309
1609989268,0,1,0,0,0,1,1,36,15
1881784809,0,0,0,0,1,0,1,0,178
1790753143,0,0,1,0,1,0,0,0,1280
1588704753,0,1,0,0,0,1,0,0,17
1366415093,0,0,0,0,0,1,0,0,239
1750509907,0,0,0,0,0,1,0,0,15
1356448336,0,0,0,1,0,1,1,48,138
1851463541,0,0,1,0,0,1,0,0,20
1336181536,0,0,1,0,1,0,0,0,135
1497035588,0,0,0,0,0,1,0,0,205
1700045713,0,1,0,0,0,1,0,0,11
1598779209,0,0,1,0,0,1,1,276,1820
1629141379,0,0,0,0,0,1,0,0,22
1952497273,0,0,0,0,0,1,0,0,1703
1437209079,0,0,0,0,1,0,0,0,1431
1619986395,0,0,0,0,0,1,0,0,11
1235124835,0,0,0,1,0,1,1,18,59
1881699270,0,0,1,0,0,1,1,109,1546
1588724504,0,0,1,0,0,1,1,49,19
1497708556,0,1,0,0,0,1,1,172,3000
1154553097,0,0,1,0,1,0,0,0,3974
1962510818,0,0,1,0,1,0,0,0,46
1902989668,0,0,0,1,0,1,1,12,314
1760614101,0,1,0,0,0,1,0,0,11
1396955589,0,0,1,0,1,0,0,0,504
1073527669,0,0,1,0,0,1,0,0,1232
1689664211,0,1,0,0,0,1,1,366,9908
1184679599,0,1,0,0,0,1,0,0,60
1558575357,0,0,0,0,0,1,0,0,24
1508931650,0,1,0,0,0,1,1,220,5388
1245390210,0,0,1,0,0,1,1,18,253
1649533845,0,1,0,0,0,1,0,0,35
1376703926,0,0,1,0,1,0,0,0,79
1447298526,0,1,0,0,0,1,1,67,270
1700874153,0,0,0,1,1,0,1,14,1349
1184638702,0,0,1,0,1,0,1,507,4495
1356360556,0,0,0,0,0,1,0,0,12
1619082526,0,0,1,0,0,1,0,0,21
1477686616,0,0,1,0,1,0,0,0,230
1659371177,0,1,0,0,0,1,1,67,0
1518951136,0,1,0,0,1,0,0,0,280
1285706093,0,0,0,1,1,0,1,39,0
1760424683,0,0,0,1,1,0,0,0,15
1497766810,0,1,0,0,0,1,1,53,39
1063467157,0,1,0,0,0,1,1,50,31
1972579928,0,1,0,0,0,1,1,796,17161
1699853770,0,0,0,1,1,0,0,0,196
1710154299,0,0,0,1,0,1,1,16,38
1932542842,0,1,0,0,0,1,1,0,28
1124197108,0,0,0,0,0,1,1,0,5622
1093721847,0,1,0,0,0,1,0,0,815
1851458723,0,0,1,0,0,1,1,28,0
1063617975,0,0,1,0,0,1,1,135,1450
1144333055,0,0,1,0,0,1,1,19,0
1801860630,0,0,0,0,0,1,1,12,1167
1154472579,0,0,0,0,0,1,1,252,10187
1316956899,0,0,0,1,0,1,1,90,7334
1184667842,0,0,0,1,1,0,1,408,9553
1295856854,0,0,1,0,0,1,0,0,26
1962798900,0,0,0,0,0,1,0,0,130
1831278092,0,1,0,0,1,0,1,18,377
1184839037,0,1,0,0,1,0,0,0,53
1871685800,0,0,1,0,0,1,0,0,45
1558311050,0,0,0,1,1,0,0,0,1773
1851308340,0,0,0,0,0,1,1,30,5425
1063464808,0,0,0,0,0,1,1,0,399
1447398615,0,1,0,0,0,1,0,0,18
1487841177,0,0,0,1,0,1,1,119,47
1063475432,0,1,0,0,0,1,1,27,0
1346294717,0,0,0,1,0,1,1,248,4727
1437186061,0,0,0,1,0,1,1,42,38
1326167164,0,0,1,0,1,0,0,0,14
1669558797,0,1,0,0,0,1,0,0,2681
1003813155,0,0,0,0,1,0,0,0,15
1114173721,0,0,0,1,0,1,1,15,0
1760767867,0,1,0,0,1,0,0,0,187
1104835941,0,0,0,1,1,0,0,0,5136
1457554297,0,0,0,0,1,0,0,0,67
1083671184,0,1,0,0,0,1,1,26,0
1023360765,0,1,0,0,1,0,1,36,966
1285617332,0,0,1,0,0,1,1,641,2427
1992771174,0,0,1,0,0,1,1,36,467
1467718734,0,0,1,0,1,0,1,0,73
1487918330,0,1,0,0,0,1,0,0,39
1811156482,0,1,0,0,0,1,1,207,1016
1285693804,0,1,0,0,1,0,0,0,279
1578819355,0,0,1,0,0,1,1,143,197
1649208638,0,0,0,1,1,0,1,13,2993
1932410776,0,0,1,0,0,1,1,39,448
1174741524,0,0,0,1,0,1,0,0,30
1770716300,0,1,0,0,0,1,1,43,333
1487623195,0,0,1,0,1,0,0,0,26
1568454932,0,0,0,0,0,1,1,80,6839
1790746642,0,0,0,0,1,0,1,11,0
1689994428,0,1,0,0,1,0,0,0,33
1992139281,0,1,0,0,1,0,0,0,15
1609127893,0,0,0,0,0,1,0,0,14
1407852148,0,0,0,1,0,1,0,0,451
1104093236,0,0,0,0,0,1,0,0,20
1922063064,0,0,1,0,0,1,0,0,1108
1861588873,0,1,0,0,0,1,0,0,14
1831388396,0,0,1,0,0,1,1,310,7065
1649373424,0,0,0,1,1,0,1,16,86
1306886064,0,0,1,0,0,1,0,0,65
1740249861,0,0,0,0,0,1,1,122,2351
1972540680,0,0,0,0,1,0,0,0,75
1902899230,0,0,0,1,0,1,1,16,0
1548277015,0,0,0,0,0,1,1,30,0
1992821300,0,0,1,0,0,1,0,0,151
1831118678,0,0,1,0,1,0,1,23,46
1861586836,0,0,0,1,0,1,0,0,295
1144200999,0,0,1,0,0,1,1,0,1295
1063667889,0,0,1,0,0,1,1,13,51
1659390201,0,0,1,0,0,1,1,0,38
1225017346,0,1,0,0,0,1,0,0,12
1023003407,0,0,1,0,0,1,1,17,225
1427249184,0,1,0,0,0,1,1,302,82
1447469598,0,1,0,0,0,1,1,120,288
1356360713,0,0,1,0,0,1,1,73,56
1508832528,0,0,1,0,0,1,1,128,3035
1942292511,0,0,1,0,0,1,1,449,6783
1427019512,0,0,0,0,1,0,1,50,240
1962483768,0,0,1,0,0,1,1,109,135
1023070364,0,1,0,0,0,1,1,11,6100
1992712277,0,0,1,0,1,0,0,0,39
1295765063,0,0,1,0,0,1,1,253,6013
1588873715,0,0,0,1,0,1,1,11,0
1134195993,0,0,1,0,1,0,0,0,110
1922178342,0,0,0,1,0,1,1,25,0
1821031253,0,0,1,0,0,1,1,198,397
1154515385,0,0,0,1,1,0,1,19,0
1073581856,0,0,0,1,0,1,1,57,94
1700292620,0,0,1,0,0,1,1,17,0
1740289222,0,0,0,1,0,1,1,38,0
1225353816,0,0,0,0,0,1,0,0,443
1528022753,0,0,1,0,0,1,1,73,32
1073664660,0,0,0,1,1,0,1,0,54
1922098169,0,0,1,0,1,0,0,0,117
1194796813,0,0,1,0,1,0,1,12,792
1811917305,0,0,0,1,0,1,1,70,1658
1770529885,0,0,1,0,1,0,1,17,7274
1790865756,0,0,1,0,1,0,0,0,86
1669529038,0,0,0,0,0,1,0,0,188
1225265051,0,0,0,0,0,1,1,153,1244
1487634432,0,0,1,0,0,1,0,0,2745
1760573901,0,0,0,0,0,1,0,0,2051
1760558092,0,1,0,0,1,0,1,353,9227
1396892287,0,0,1,0,0,1,1,0,494
1144243239,0,0,0,0,1,0,1,0,35
1457471781,0,0,0,0,1,0,1,0,14
1215958228,0,0,1,0,0,1,0,0,66
1902837206,0,0,0,0,0,1,0,0,13
1518985811,0,0,1,0,1,0,0,0,353
1063408383,0,1,0,0,0,1,0,0,14
1669764346,0,0,0,1,0,1,0,0,12
1386706646,0,0,0,1,0,1,0,0,61
1770772881,0,0,0,1,1,0,1,0,12
1023223849,0,0,0,1,0,1,0,0,11
1386677607,0,0,0,1,1,0,0,0,195
